Longitude,Latitude,Name,Country,Year,Class,Type,SubType,Elevation,Fa,Fs,Wo,Value,cid,Mass
19.7,55.73333,Jiddat al Harasis 073,Oman,2002,L6,Stony,L Chondrite,161,25.3,22.4,1.2,86000,512,550000
20.51667,56.66667,Sayh al Uhaymir 001,Oman,2000,L4/5,Stony,L Chondrite,113,24.7,21.4,43.6,61000,512,408000
26.06,118.01,Youxi ,China,2006,Mesosiderite-C,Stony-Iron,Mesosiderite,497,30.2,28.1,2.2,43000,156,218000
27.30167,15.7645,Dar al Gani 749,Libya,2005,CO3,Stony,Carbonaceous chondrite,484.8,48,47.9,0,32000,434,95000
19.65167,55.69,Jiddat al Harasis 055,Oman,2004,L4-5,Stony,L Chondrite,161,25.6,21.7,0,30000,512,200000
19.03333,54.51667,Dhofar 020,Oman,2000,H4-5,Stony,H Chondrite,168,18.1,15.9,0,28000,512,256000
36.85992,101.42603,Xining ,China,2012,L5,Stony,L Chondrite,2979.5,40,40,0,28000,156,100001
27.95833,21.68333,Jalu,Libya,2000,L6,Stony,L Chondrite,126,25.4,21.5,0,23000,434,150000
18.16667,54.16667,Dhofar 005,Oman,2000,L6,Stony,L Chondrite,312,24.8,22.3,0,20000,512,125500
19.69362,56.65432,Jiddat al Harasis 091,Oman,2002,L5,Stony,L Chondrite,158.7,25,21.3,1.7,18000,512,123374.4
12.66667,78.03333,Sulagiri ,India,2008,LL6,Stony,L Chondrite,663,25.4,21.9,0,17000,356,110000
29.65225,-7.7493,Toufassour ,Morocco,2007,Mesosiderite,Stony-Iron,Mesosiderite,498.5,0,33,0,17000,504,73300
54.81667,61.11667,Chelyabinsk ,Russia,2013,LL5,Stony,L Chondrite,284,27.9,22.8,4,16000,643,100001
57.78117,47.67967,Karavannoe ,Russia,1965,"Pallasite, PES",Stony-Iron,Pallasite,122.5,19.7,16.8,39.9,16000,643,132000
47.457,47.5385,Kharabali ,Russia,2001,H5,Stony,H Chondrite,-9.1,18.7,16.8,1.4,16000,643,140000
19.71678,56.6062,Jiddat al Harasis 090,Oman,2002,L5,Stony,L Chondrite,157.2,25.1,22.8,6.9,15000,512,92667.6
28.60033,13.5775,Hammadah al Hamra 153,Libya,1995,H3.8-4,Stony,H Chondrite,602,24,40,0,14000,434,50000
-18.93333,28.6,Nkayi ,Zimbabwe,2009,L6,Stony,L Chondrite,1150,24.5,20.7,0,14000,716,100000
31.15643,-5.15262,Bou Azarif ,Morocco,2010,H5,Stony,H Chondrite,925.9,18.2,17.9,0,13000,504,100000
44.17133,24.91883,Gresia ,Romania,1990,H4,Stony,H Chondrite,93,20,64,0,12000,642,26900
22.79167,-3.96667,Taoudenni ,Mali,2007,Diogenite,Stony,Asteroidal Achondrite,243,30,69,0,12000,466,24370
23.69639,-5.01472,Chergach ,Mali,2007,H5,Stony,H Chondrite,302.2,18.2,15.5,17,11000,466,100000
19.7127,56.58277,Jiddat al Harasis 230,Oman,2005,L5,Stony,L Chondrite,157.7,25.2,20.8,1.9,11000,512,"77,000"
31.16333,-7.015,Tamdakht ,Morocco,2008,H5,Stony,H Chondrite,1417,18,16,0,11000,504,100000
22.09722,-2.54306,Dar el Kahal ,Mali,2013,H5-6,Stony,H Chondrite,313.2,17.4,16,0,9500,466,85000
19.74783,56.5293,Jiddat al Harasis 904,Oman,2010,L5,Stony,L Chondrite,159.2,24.6,20.5,0,9200,512,64400
19.79747,56.44853,Jiddat al Harasis 900,Oman,2010,L5,Stony,L Chondrite,151.8,25.1,21.1,0,8900,512,60000
39.35067,-114.40783,Yelland Dry Lake,USA,2007,H4,Stony,H Chondrite,1691.9,18.5,16.3,1.9,8700,840,76000
27.66667,95.78333,Mahadevpur ,India,2007,H4/5,Stony,H Chondrite,143,19,17,0,8400,356,70500
20.29883,56.73908,Sayh al Uhaymir 582 ,Oman,2010,L5,Stony,L Chondrite,144.6,25.8,21.7,22,8400,512,55000
27.16667,-9.5,Lahmada 009,Western Sahara,1999,H3-6,Stony,H Chondrite,503,18.1,16.6,0,8100,732,70000
24.43817,0.103,Tanezrouft 072,Algeria,2002,H6,Stony,H Chondrite,314.7,20.8,17.7,0,7700,12,62285
19.71458,56.54755,Jiddat al Harasis 342,Oman,2006,L5,Stony,L Chondrite,155.6,25.2,20.7,1.8,7200,512,"49,750.00"
18.67877,54.2876,Dhofar 1654,Oman,2011,L5,Stony,L Chondrite,214.2,24.2,20.4,0,7100,512,50000
31.38333,-4.25,Northwest Africa 1581,Morocco,2001,L6,Stony,L Chondrite,785,24.4,20.2,0,7100,504,50200
33.58333,-99.8,Benjamin,USA,1969,H4/5,Stony,H Chondrite,445.9,20,19,0,6900,840,51800
28.63667,13.1965,Hammadah al Hamra 173,Libya,1996,L6,Stony,L Chondrite,581,25.2,21.5,0,6800,434,45000
18.335,54.18167,Dhofar 007,Oman,1999,Eucrite,Stony,Asteroidal Achondrite,271,0,43.3,0,6400,512,21270
18.34055,54.39167,Dhofar 1824,Oman,2011,L6,Stony,L Chondrite,279.7,25.6,21.5,9,6200,512,41416
19.86785,57.0028,Al Huqf 010,Oman,2002,L6,Stony,L Chondrite,161,25.2,21.1,1,6100,512,41539.34
32.05,-3.03333,Northwest Africa 055,Morocco,1999,L4,Stony,L Chondrite,867,23.8,20.6,0,6100,504,42000
18.63333,54.42167,Dhofar 1289,Oman,2004,L4,Stony,L Chondrite,230,24.7,21.3,1.1,5500,512,37000
18.86622,54.67967,Dhofar 1700,Oman,2010,L6,Stony,L Chondrite,201.4,23.2,19.7,1.3,5400,512,39000
32.25,-8.15,Benguerir ,Morocco,2004,LL6,Stony,L Chondrite,403,29,25,1,5300,504,30000
18.27833,54.285,Dhofar 1288,Oman,2004,H5,Stony,H Chondrite,287,17.8,17.4,0,5300,512,43600
34.7345,-114.21717,Buck Mountains 003,USA,2005,L6,Stony,L Chondrite,401,25,21.2,1.5,5100,840,"34,200.00"
20.537,9.53783,Point Berliet,Niger,2001,H5,Stony,H Chondrite,617.4,19,17.2,1.6,5100,562,42000
20.72918,57.189,Sayh al Uhaymir 270,Oman,2003,H4-6,Stony,H Chondrite,130.6,19.1,16.7,1.5,5100,512,43508.19
26.85,16.73333,Dar al Gani 610,Libya,1998,H4,Stony,H Chondrite,620,17.8,16.1,0,5000,434,44000
18.2735,54.21367,Dhofar 1565,Oman,2008,H5,Stony,H Chondrite,287.4,18.7,16.5,1.6,5000,512,43000
19.82703,56.4641,Jiddat al Harasis 901,Oman,2010,L6,Stony,L Chondrite,157.5,24.4,20.3,0,5000,512,35000
52.996,-109.84817,Buzzard Coulee ,Canada,2008,H4,Stony,H Chondrite,570,17.8,16.6,0,4800,124,"41,000"
25.15592,0.82213,Djebel Chaab 002,Algeria,2003,LL6,Stony,L Chondrite,321.7,26.3,22.2,0,4800,12,30616
19.53268,56.87225,Jiddat al Harasis 406,Oman,2006,L6,Stony,L Chondrite,151.6,24.2,20.7,5.3,4800,512,33000
27.58333,4.1,Acfer 329,Algeria,2001,L4/5,Stony,L Chondrite,450,24.1,21.5,0,4500,12,30000
25.4075,0.13639,Tanezrouft 065,Algeria,2002,L4,Stony,L Chondrite,293.3,23.1,21,0,4400,12,30000
-24.68333,-69.76667,Los Vientos 002,Chile,2010,L6,Stony,L Chondrite,1792,23.2,19.8,3,4300,152,30750
31,11.66667,Sinawan 001 ,Libya,1991,L6,Stony,L Chondrite,603,25.4,21.6,0,4300,434,28600
37.01667,-95.66667,Coffeyville,USA,2006,H5,Stony,H Chondrite,231.7,18.7,16.7,0,4200,840,35900
38.84833,-98.72383,Bunker Hill ,USA,2002,L6,Stony,L Chondrite,564.8,24.7,20.9,3.6,4100,840,28000
20.3936,56.22002,Ramlat as Sahmah 418,Oman,2010,L6,Stony,L Chondrite,143.6,24,20.2,1.3,4100,512,28791
21.26172,57.17887,Sayh al Uhaymir 278,Oman,2002,L5,Stony,L Chondrite,135.2,25.1,20.9,1.3,4100,512,27860.8
35.28,128.12333,Jinju ,South Korea,2014,H5,Stony,H Chondrite,26,18.3,16.2,0,3900,410,34000
19.0084,54.76913,Dhofar 379,Oman,2000,L6,Stony,L Chondrite,184.2,26,21.5,0,3800,512,25000
28.935,-8.905,Tirhert ,Morocco,2014,Eucrite-unbr,Stony,Asteroidal Achondrite,412,0,53.6,1.5,3800,504,10000
19.04002,54.78383,Dhofar 360,Oman,2005,LL3-6,Stony,L Chondrite,189.4,28,34.6,0,3700,512,15300
28.95833,10.59167,Hammadah al Hamra 328,Libya,1999,H5,Stony,H Chondrite,666,18.6,17.2,0,3700,434,30440
21.6,1.66667,Ilafegh 008,Algeria,1989,L5,Stony,L Chondrite,442,23.4,20.3,0,3700,12,26111
-28.09697,118.45561,Windimurra ,Australia,2004,H4/5,Stony,H Chondrite,494.3,19.7,17.8,0,3700,36,30001
31.47556,113.56694,Fuhe ,China,1945,L5,Stony,L Chondrite,57.4,24.2,22.1,0,3600,156,23000
15.78333,-5.9,Bassikounou ,Mauritania,2006,H5,Stony,H Chondrite,284,18.6,16.3,0,3400,478,29560
54.7505,36.978,Koltsovo ,Russia,2004,H4,Stony,H Chondrite,171,20,24,1.37,3400,643,20020
29.87861,-96.87222,Bluff (a) ,USA,1878,L5,Stony,L Chondrite,115.9,24.6,20.5,1.2,3200,840,22250
28.59583,13.269,Hammadah al Hamra 087,Libya,1995,L6,Stony,L Chondrite,574.2,24.6,20.7,0,3200,434,22114
41.66889,93.17306,Kumtag,China,2008,H5,Stony,H Chondrite,1171.9,19.3,16.8,0,3100,156,26001
31.83333,-2.93333,Northwest Africa 059,Algeria,1999,H3.9/4,Stony,H Chondrite,763,19,16.6,0,3100,12,27000
-25,-70.46667,Paposo 004,Chile,2011,L3.1,Stony,L Chondrite,7,46,53,1,3100,152,8250
29.1,12.31667,Hammadah al Hamra 296,Libya,2000,H5/6,Stony,H Chondrite,655,20,16,0,3000,434,27064
-24.68333,-69.76667,Los Vientos 004,Chile,2011,H5,Stony,H Chondrite,1792,16.4,14.7,1.1,3000,152,29300
19.9997,56.41108,Jiddat al Harasis 267,Oman,2005,Meso,Stony-Iron,Mesosiderite,142.7,0,26.2,0,2900,512,"16,006"
20.70713,57.18317,Sayh al Uhaymir 266,Oman,2002,H5,Stony,H Chondrite,133.4,18.3,16.4,1.5,2900,512,25013.96
19.949,11.933,Tiffa 001,Niger,1997,H5,Stony,H Chondrite,422.7,17.3,15.6,1.3,2900,562,26900
19.08188,54.71472,Dhofar 1722,Oman,2010,H5,Stony,H Chondrite,185.3,17.7,16.2,0,2800,512,25000
28.002467,-11.131583,Northwest Africa 6963 ,Morocco,2011,Martian (shergottite),Stony,Martian Achondrite,254.2,0,39.7,0,2800,504,10000
26.6674,-11.67728,Jbilet Winselwan ,Western Sahara,2013,CM2,Stony,Carbonaceous chondrite,217.9,35,61,0,2600,732,6000
-24.68333,-69.76667,Los Vientos 003,Chile,2011,H5,Stony,H Chondrite,1792,16.9,14.7,1.5,2600,152,25450
45.5,-119.5,Morrow County,USA,1999,L6,Stony,L Chondrite,579.4,24.5,20.4,0,2600,840,18200
18.55,53.97,Shisr 010,Oman,2001,L4/6,Stony,L Chondrite,238,24.1,21.4,1.2,2600,512,17604
29.48195,-7.61123,Tissint ,Morocco,2011,Martian (shergottite),Stony,Martian Achondrite,371,0,51.6,39.2,2500,504,7001
29.36583,14.27611,Ashuwairif 004,Libya,2008,L6,Stony,L Chondrite,439.7,23.2,21.5,0,2400,434,15750
29,12.23333,Hammadah al Hamra 001,Libya,1990,H5,Stony,H Chondrite,656,18.9,17.3,21,2400,434,19418
19.36312,55.55723,Jiddat al Harasis 317,Oman,2001,H 5,Stony,H Chondrite,195,18.1,16.2,0,2400,512,21472
27.08167,16.28333,Dar al Gani 741,Libya,2005,H4,Stony,H Chondrite,595,17.5,15.9,0,2300,434,20500
28.71967,12.86433,Hammadah al Hamra 148,Libya,1995,L5,Stony,L Chondrite,611.6,24.8,20.8,0,2300,434,15770
20.10361,56.32694,Ramlat as Sahmah 428,Oman,2011,L6,Stony,L Chondrite,143.9,25.5,20.6,0.7,2300,512,16247
35.98728,-115.85828,Stump Spring 083 ,USA,2010,LL6,Stony,L Chondrite,843.5,27.8,23.6,1.3,2300,840,13700
29.86306,-96.92667,Bluff (b) ,USA,1917,L4,Stony,L Chondrite,98.7,23.3,19.2,0,2200,840,16000
27.74767,16.003,Dar al Gani 477,Libya,1998,L6,Stony,L Chondrite,550.6,23.7,19.8,0,2200,434,16128
27.13267,15.9925,Dar al Gani 956,Libya,2005,L6,Stony,L Chondrite,568.6,24.4,20.8,0,2200,434,15000
